transport_id,transport_cat,year,sector_id
1,Bus & Train Fares,2018,1
2,Bus & Train Fares,2019,1
3,Bus & Train Fares,2020,1
4,Bus & Train Fares,2021,1
5,Bus & Train Fares,2022,1
6,Bus & Train Fares,2023,1
7,Bus & Train Fares,2024,1
8,Bus & Train Fares,2018,1
9,Bus & Train Fares,2019,1
10,Bus & Train Fares,2020,1
11,Bus & Train Fares,2021,1
12,Bus & Train Fares,2022,1
13,Bus & Train Fares,2023,1
14,Bus & Train Fares,2024,1
15,Bus & Train Fares,2018,1
16,Bus & Train Fares,2019,1
17,Bus & Train Fares,2020,1
18,Bus & Train Fares,2021,1
19,Bus & Train Fares,2022,1
20,Bus & Train Fares,2023,1
21,Bus & Train Fares,2024,1
22,Cars,2018,1
23,Cars,2019,1
24,Cars,2020,1
25,Cars,2021,1
26,Cars,2022,1
27,Cars,2023,1
28,Cars,2024,1
29,Cars,2018,1
30,Cars,2019,1
31,Cars,2020,1
32,Cars,2021,1
33,Cars,2022,1
34,Cars,2023,1
35,Cars,2024,1
36,Cars,2018,1
37,Cars,2019,1
38,Cars,2020,1
39,Cars,2021,1
40,Cars,2022,1
41,Cars,2023,1
42,Cars,2024,1
43,Point-To-Point Transport Services,2018,1
44,Point-To-Point Transport Services,2019,1
45,Point-To-Point Transport Services,2020,1
46,Point-To-Point Transport Services,2021,1
47,Point-To-Point Transport Services,2022,1
48,Point-To-Point Transport Services,2023,1
49,Point-To-Point Transport Services,2024,1
50,Point-To-Point Transport Services,2018,1
51,Point-To-Point Transport Services,2019,1
52,Point-To-Point Transport Services,2020,1
53,Point-To-Point Transport Services,2021,1
54,Point-To-Point Transport Services,2022,1
55,Point-To-Point Transport Services,2023,1
56,Point-To-Point Transport Services,2024,1
57,Point-To-Point Transport Services,2018,1
58,Point-To-Point Transport Services,2019,1
59,Point-To-Point Transport Services,2020,1
60,Point-To-Point Transport Services,2021,1
61,Point-To-Point Transport Services,2022,1
62,Point-To-Point Transport Services,2023,1
63,Point-To-Point Transport Services,2024,1
64,Private Transport,2018,1
65,Private Transport,2019,1
66,Private Transport,2020,1
67,Private Transport,2021,1
68,Private Transport,2022,1
69,Private Transport,2023,1
70,Private Transport,2024,1
71,Private Transport,2018,1
72,Private Transport,2019,1
73,Private Transport,2020,1
74,Private Transport,2021,1
75,Private Transport,2022,1
76,Private Transport,2023,1
77,Private Transport,2024,1
78,Private Transport,2018,1
79,Private Transport,2019,1
80,Private Transport,2020,1
81,Private Transport,2021,1
82,Private Transport,2022,1
83,Private Transport,2023,1
84,Private Transport,2024,1
85,Public Transport,2018,1
86,Public Transport,2019,1
87,Public Transport,2020,1
88,Public Transport,2021,1
89,Public Transport,2022,1
90,Public Transport,2023,1
91,Public Transport,2024,1
92,Public Transport,2018,1
93,Public Transport,2019,1
94,Public Transport,2020,1
95,Public Transport,2021,1
96,Public Transport,2022,1
97,Public Transport,2023,1
98,Public Transport,2024,1
99,Public Transport,2018,1
100,Public Transport,2019,1
101,Public Transport,2020,1
102,Public Transport,2021,1
103,Public Transport,2022,1
104,Public Transport,2023,1
105,Public Transport,2024,1
106,Transport,2018,1
107,Transport,2019,1
108,Transport,2020,1
109,Transport,2021,1
110,Transport,2022,1
111,Transport,2023,1
112,Transport,2024,1
113,Transport,2018,1
114,Transport,2019,1
115,Transport,2020,1
116,Transport,2021,1
117,Transport,2022,1
118,Transport,2023,1
119,Transport,2024,1
120,Transport,2018,1
121,Transport,2019,1
122,Transport,2020,1
123,Transport,2021,1
124,Transport,2022,1
125,Transport,2023,1
126,Transport,2024,1
